YEAR,MovieID,Title,Genres_Western,Genres_War,Genres_Thriller,Genres_Sci-Fi,Genres_Romance,Genres_Mystery,Genres_Musical,Genres_Horror,Genres_Film-Noir,Genres_Fantasy,Genres_Drama,Genres_Documentary,Genres_Crime,Genres_Comedy,Genres_Children's,Genres_Animation,Genres_Adventure,Genres_Action
1995,1,Toy Story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,2,Jumanji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1995,3,Grumpier Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,4,Waiting to Exhale,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1995,5,Father of the Bride Part II,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,6,Heat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1995,7,Sabrina,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1995,8,Tom and Huck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1995,9,Sudden Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,10,GoldenEye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1995,11,"American President, The",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1995,13,Balto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,14,Nixon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,15,Cutthroat Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1995,16,Casino,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,17,Sense and Sensibility,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,18,Four Rooms,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,20,Money Train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,21,Get Shorty,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1995,22,Copycat,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1995,23,Assassins,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,24,Powder,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,25,Leaving Las Vegas,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,26,Othello,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,27,Now and Then,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,28,Persuasion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,29,"City of Lost Children, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1995,30,Shanghai Triad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995,31,Dangerous Minds,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
