MovieID,Year,Genres_Western,Genres_War,Genres_Thriller,Genres_Sci-Fi,Genres_Romance,Genres_Mystery,Genres_Musical,Genres_Horror,Genres_Film-Noir,Genres_Fantasy,Genres_Drama,Genres_Documentary,Genres_Crime,Genres_Comedy,Genres_Children's,Genres_Animation,Genres_Adventure,Genres_Action,cluster
1,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
2,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
3,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
4,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
5,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
6,1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
7,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
8,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
9,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
10,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
11,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
13,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
14,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
15,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
16,1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
17,1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
18,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
21,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
22,1995,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4
23,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24,1995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
25,1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
26,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
27,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
28,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
29,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
30,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
31,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
32,1995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
33,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
34,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
35,1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
36,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
37,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
38,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
39,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
40,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
41,1995,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
42,1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
43,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
44,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
45,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
46,1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
